step	nodes	edges	singletons	connected	avg_degree	degree_distribution	diameter	avg_clustering_coefficient	cc_count	avg_cc_size	max_cc_size	max_cc_id	cc_std_dev	com_count	avg_com_size	max_com_size	max_com_id	min_com_size	min_com_id	std_com_dist	modularity	com_modularity	iterations	iteration_modularities
77	1425	2943	268	1157	4.130526542663574	268,207,157,131,127,131,110,82,46,28,19,23,8,13,27,17,5,3,1,0,6,10,3,3,	20.0	0.5126741841847224	443	3.2167044	68	2	3.2167044	482	2.9564316	66	2556	1	23584	4.6651015	0.946948875387376	0.9192710543248453	1	0.9192710543248453,
78	1433	2966	269	1164	4.1395673751831055	269,212,160,132,133,119,106,88,44,32,19,22,8,17,22,14,11,1,2,0,0,5,10,4,3,	29.0	0.5194647463808528	450	3.1844444	88	5	3.1844444	484	2.960744	67	2556	1	23855	4.7155647	0.941994662820577	0.9136590848224141	1	0.9136590848224141,
79	1438	3020	265	1173	4.200278282165527	265,206,168,135,130,125,100,85,47,37,11,29,16,12,12,19,8,8,2,1,1,6,4,6,2,3,	18.0	0.525222498082638	444	3.2387388	71	2	3.2387388	479	3.0020876	69	2556	1	23948	4.8360133	0.9418545239243917	0.9118436691373197	1	0.9118436691373197,
80	1439	3028	266	1173	4.208477973937988	266,205,166,133,125,130,106,75,54,35,19,29,9,16,10,25,8,4,1,1,0,6,7,7,2,	19.0	0.5209339219130777	444	3.2409909	73	14	3.2409909	475	3.0294738	71	2556	1	24246	4.900613	0.9405639831846866	0.9078462858324512	1	0.9078462858324512,
81	1448	3058	273	1175	4.223756790161133	273,203,164,128,128,134,104,79,59,33,17,29,7,16,10,27,4,8,2,0,1,5,9,4,4,	18.0	0.525020244993988	453	3.1964679	72	2	3.1964679	488	2.9672132	73	2556	1	24492	4.9247885	0.9421228817528684	0.9076673734441318	1	0.9076673734441318,
82	1459	3099	272	1187	4.248115062713623	272,213,155,118,148,131,114,63,52,43,24,24,16,12,9,29,4,6,1,2,3,2,10,5,1,2,	17.0	0.5239339033268153	455	3.2065935	73	2	3.2065935	486	3.0020576	70	2556	1	24884	4.9075994	0.9428110807377187	0.9112525863457592	1	0.9112525863457592,
83	1459	3094	277	1182	4.241261005401611	277,206,155,120,147,133,118,69,39,50,18,27,13,13,9,29,3,6,3,1,1,5,3,8,5,1,	18.0	0.5287864263287463	459	3.1786492	73	2	3.1786492	484	3.0144627	66	2556	1	25069	4.8100348	0.9427966801060823	0.9259849954600696	1	0.9259849954600696,
84	1460	3114	273	1187	4.265753269195557	273,213,148,125,153,137,97,81,34,52,10,34,12,16,10,22,3,9,8,1,1,5,3,6,6,1,	26.0	0.5299134058300694	462	3.1601732	87	5	3.1601732	485	3.0103092	65	2556	1	25605	4.745365	0.9401455873550966	0.9166387714298335	1	0.9166387714298335,
85	1471	3145	276	1195	4.276002883911133	276,213,151,120,158,138,108,79,33,42,17,32,14,13,10,22,5,0,12,3,4,4,3,4,6,3,0,1,	28.0	0.5294369406849873	468	3.1431625	87	5	3.1431625	498	2.9538152	66	2556	1	25839	4.6981177	0.9384608774115946	0.9058085992098909	1	0.9058085992098909,
86	1475	3138	279	1196	4.254915237426758	279,216,143,128,158,136,116,71,33,39,17,37,17,7,11,25,1,7,6,2,3,5,3,6,7,1,1,	35.0	0.5224186729754955	465	3.172043	94	5	3.172043	502	2.938247	67	2556	1	26156	4.6795697	0.9371862256327876	0.9027255285951795	1	0.9027255285951795,
