	step	com_id	com_size	degree	degree	degree	degree	num_stops	num_stops	num_stops	num_stops	x	x	y	y	avg_speed	avg_speed	avg_speed	avg_speed	speed	speed	speed	speed	congested	range	num_stops_count
130	0	130	1	20.0		20	20	1	1.0	1	1	3282.32	3282.32	1313.5	1313.5	-1.0		-1.0	-1.0	0.0		0.0	0.0	1	0.0	0.0
131	0	131	1	20.0		20	20	1	1.0	1	1	2002.18	2002.18	1766.5	1766.5	-1.0		-1.0	-1.0	0.0		0.0	0.0	1	0.0	0.0
132	0	132	1	18.0		18	18	1	1.0	1	1	1692.45	1692.45	1093.5	1093.5	-1.0		-1.0	-1.0	0.0		0.0	0.0	1	0.0	0.0
133	0	133	1	21.0		21	21	0	0.0	0	0	1983.5	1983.5	1046.16	1046.16	-1.0		-1.0	-1.0	4.42		4.42	4.42	0	0.0	0.0
134	0	134	1	22.0		22	22	1	1.0	1	1	3083.5	3083.5	1228.51	1228.51	-1.0		-1.0	-1.0	0.0		0.0	0.0	1	0.0	0.0
135	0	135	1	8.0		8	8	0	0.0	0	0	1326.5	1326.5	4345.45	4345.45	-1.0		-1.0	-1.0	45.25		45.25	45.25	0	0.0	0.0
136	0	136	1	3.0		3	3	0	0.0	0	0	1093.5	1093.5	556.81	556.81	-1.0		-1.0	-1.0	51.88		51.88	51.88	0	0.0	0.0
137	0	137	1	8.0		8	8	1	1.0	1	1	1956.51	1956.51	4393.5	4393.5	-1.0		-1.0	-1.0	0.0		0.0	0.0	1	0.0	0.0
138	0	138	1	18.0		18	18	0	0.0	0	0	2780.57	2780.57	886.5	886.5	-1.0		-1.0	-1.0	49.63		49.63	49.63	0	0.0	0.0
139	0	139	1	29.0		29	29	1	1.0	1	1	2426.5	2426.5	2112.01	2112.01	-1.0		-1.0	-1.0	0.0		0.0	0.0	1	0.0	0.0
140	0	140	1	13.0		13	13	0	0.0	0	0	3966.5	3966.5	2823.82	2823.82	-1.0		-1.0	-1.0	32.84		32.84	32.84	0	0.0	0.0
141	0	141	1	8.0		8	8	1	1.0	1	1	867.36	867.36	1316.5	1316.5	-1.0		-1.0	-1.0	0.79		0.79	0.79	1	0.0	0.0
142	0	142	1	26.0		26	26	0	0.0	0	0	2866.5	2866.5	2845.56	2845.56	-1.0		-1.0	-1.0	4.03		4.03	4.03	0	0.0	0.0
143	0	143	1	27.0		27	27	1	1.0	1	1	2182.92	2182.92	2413.5	2413.5	-1.0		-1.0	-1.0	0.0		0.0	0.0	1	0.0	0.0
144	0	144	1	34.0		34	34	1	1.0	1	1	2239.86	2239.86	2203.5	2203.5	-1.0		-1.0	-1.0	0.29		0.29	0.29	1	0.0	0.0
145	0	145	1	8.0		8	8	0	0.0	0	0	4186.5	4186.5	3014.48	3014.48	-1.0		-1.0	-1.0	63.81		63.81	63.81	0	0.0	0.0
146	0	146	1	21.0		21	21	0	0.0	0	0	3076.5	3076.5	3268.45	3268.45	-1.0		-1.0	-1.0	5.95		5.95	5.95	0	0.0	0.0
147	0	147	1	23.0		23	23	1	1.0	1	1	2423.5	2423.5	1414.88	1414.88	-1.0		-1.0	-1.0	0.0		0.0	0.0	1	0.0	0.0
148	0	148	1	14.0		14	14	0	0.0	0	0	3219.33	3219.33	883.5	883.5	-1.0		-1.0	-1.0	6.79		6.79	6.79	0	0.0	0.0
149	0	149	1	7.0		7	7	0	0.0	0	0	3743.5	3743.5	1497.21	1497.21	-1.0		-1.0	-1.0	11.07		11.07	11.07	0	0.0	0.0
150	0	150	1	16.0		16	16	1	1.0	1	1	2622.76	2622.76	876.5	876.5	-1.0		-1.0	-1.0	0.0		0.0	0.0	1	0.0	0.0
151	0	151	1	30.0		30	30	0	0.0	0	0	2614.96	2614.96	1536.5	1536.5	-1.0		-1.0	-1.0	8.93		8.93	8.93	0	0.0	0.0
152	0	152	1	34.0		34	34	1	1.0	1	1	1998.25	1998.25	2863.5	2863.5	-1.0		-1.0	-1.0	0.0		0.0	0.0	1	0.0	0.0
153	0	153	1	12.0		12	12	0	0.0	0	0	656.5	656.5	2237.3	2237.3	-1.0		-1.0	-1.0	13.38		13.38	13.38	0	0.0	0.0
154	0	154	1	18.0		18	18	1	1.0	1	1	1512.5	1512.5	1536.5	1536.5	-1.0		-1.0	-1.0	0.27		0.27	0.27	1	0.0	0.0
155	0	155	1	26.0		26	26	1	1.0	1	1	2413.5	2413.5	2029.91	2029.91	-1.0		-1.0	-1.0	0.0		0.0	0.0	1	0.0	0.0
156	0	156	1	24.0		24	24	1	1.0	1	1	2841.93	2841.93	2413.5	2413.5	-1.0		-1.0	-1.0	0.0		0.0	0.0	1	0.0	0.0
157	0	157	1	3.0		3	3	0	0.0	0	0	4396.5	4396.5	3159.84	3159.84	-1.0		-1.0	-1.0	58.58		58.58	58.58	0	0.0	0.0
158	0	158	1	14.0		14	14	0	0.0	0	0	3203.02	3203.02	886.5	886.5	-1.0		-1.0	-1.0	18.22		18.22	18.22	0	0.0	0.0
159	0	159	1	6.0		6	6	1	1.0	1	1	2882.39	2882.39	4406.5	4406.5	-1.0		-1.0	-1.0	0.0		0.0	0.0	1	0.0	0.0
160	0	160	1	22.0		22	22	1	1.0	1	1	2897.82	2897.82	2206.5	2206.5	-1.0		-1.0	-1.0	0.0		0.0	0.0	1	0.0	0.0
161	0	161	1	23.0		23	23	1	1.0	1	1	1992.28	1992.28	1106.5	1106.5	-1.0		-1.0	-1.0	0.0		0.0	0.0	1	0.0	0.0
162	0	162	1	8.0		8	8	1	1.0	1	1	1057.21	1057.21	1533.5	1533.5	-1.0		-1.0	-1.0	0.0		0.0	0.0	1	0.0	0.0
