step	node_id	x	y	degree	neighbors	cc_id	cc_size	com_id	com_score	com_size
0	_h5_4604	31725.35	20123.91	0		189	1	221	1.0	1
0	_h5_4609	19760.15	18030.2	0		190	1	170	1.0	1
0	_h5_4430	26278.47	25478.24	0		191	1	507	1.0	1
0	_h5_4538	19702.58	24710.89	0		192	1	138	1.0	1
0	_h5_4834	42410.5	31517.88	1	_h5_4866,	193	2	39	1.0	2
0	_h5_4866	42359.15	31496.67	1	_h5_4834,	193	2	39	0.95	2
0	_h5_4835	14269.63	25108.81	0		194	1	342	1.0	1
0	_h5_4836	21829.39	13395.93	1	_h5_4843,	195	2	210	0.95	2
0	_h5_4843	21848.1	13347.0	1	_h5_4836,	195	2	210	1.0	2
0	_h5_4837	41020.24	22577.59	0		196	1	343	1.0	1
0	_h5_4830	15729.46	14495.95	1	_h5_4833,	197	2	137	1.0	2
0	_h5_4833	15804.02	14554.87	1	_h5_4830,	197	2	137	0.95	2
0	_h5_4831	9019.89	24893.26	0		198	1	489	1.0	1
0	_h5_4832	41446.83	30862.41	0		199	1	106	1.0	1
0	_h5_4838	40884.8	22744.94	0		200	1	530	1.0	1
0	_h5_4839	15783.03	14174.28	0		201	1	175	1.0	1
0	_h6_88	18219.22	28024.63	1	_h5_4628,	202	2	465	1.0	2
0	_h5_4628	18226.67	28039.72	1	_h6_88,	202	2	465	0.95	2
0	_h6_89	43246.68	31693.03	0		203	1	324	1.0	1
0	_h6_82	35049.38	31082.14	0		204	1	60	1.0	1
0	_h6_83	22071.65	12477.15	2	_h6_145,_h6_44,	205	3	152	0.95	3
0	_h6_145	22067.51	12514.53	2	_h6_83,_h6_44,	205	3	152	0.95	3
0	_h6_44	22075.53	12442.03	2	_h6_83,_h6_145,	205	3	152	1.0	3
0	_h6_80	44196.38	31090.72	2	_h6_33,_h6_52,	100	4	11	1.0	3
0	_h5_4859	9620.58	34132.72	0		206	1	492	1.0	1
0	_h6_86	12504.23	13578.77	0		207	1	127	1.0	1
0	_h6_87	14690.74	13241.73	6	_h6_78,_h6_109,_h6_121,_h6_135,_h6_47,_h6_93,	101	13	145	1.0	7
0	_h6_78	14667.09	13222.42	5	_h6_87,_h6_121,_h6_135,_h6_47,_h6_93,	101	13	145	0.95	7
0	_h6_109	14732.86	13312.91	6	_h6_87,_h6_93,_h6_47,_h6_121,_h6_133,_h6_135,	101	13	145	0.95	7
0	_h6_121	14702.33	13257.21	6	_h6_87,_h6_78,_h6_93,_h6_47,_h6_109,_h6_135,	101	13	145	0.95	7
0	_h6_135	14674.86	13232.26	6	_h6_87,_h6_78,_h6_93,_h6_47,_h6_109,_h6_121,	101	13	145	0.95	7
0	_h6_47	14689.04	13244.89	6	_h6_87,_h6_78,_h6_93,_h6_109,_h6_121,_h6_135,	101	13	145	0.95	7
0	_h6_93	14708.16	13270.85	6	_h6_87,_h6_78,_h6_109,_h6_121,_h6_135,_h6_47,	101	13	145	0.95	7
0	_h6_84	19688.36	28284.12	1	_h6_79,	208	3	456	0.95	3
0	_h6_79	19659.05	28259.39	2	_h6_84,_h6_146,	208	3	456	1.0	3
0	_h6_85	33765.54	18732.46	0		209	1	163	1.0	1
0	_h5_4737	41590.59	30953.57	2	_h5_4697,_h5_4717,	111	4	216	0.95	3
0	_h5_4717	41601.92	30993.89	2	_h5_4737,_h5_4697,	111	4	216	1.0	3
0	_h5_4736	11358.52	24880.6	0		210	1	280	1.0	1
0	_h5_4734	37937.21	14498.45	0		211	1	12	1.0	1
0	_h5_4733	9490.33	20641.61	0		212	1	515	1.0	1
0	_h5_4732	23532.11	22319.34	0		213	1	455	1.0	1
0	_h5_4731	46241.68	32938.95	0		214	1	408	1.0	1
0	_h5_4730	17876.94	16667.3	0		215	1	20	1.0	1
0	_h5_4854	32387.87	15059.81	0		216	1	353	1.0	1
0	_h5_4739	21696.9	35001.85	0		217	1	143	1.0	1
0	_h5_4738	15264.9	14229.86	0		218	1	71	1.0	1
0	_h6_77	23645.01	22364.02	0		219	1	147	1.0	1
0	_h5_4768	19525.89	29019.52	0		220	1	523	1.0	1
0	_h5_4855	42588.59	31579.05	1	_h5_4872,	221	2	362	1.0	2
0	_h5_4872	42671.34	31604.83	1	_h5_4855,	221	2	362	0.95	2
0	_h6_73	20779.56	36250.87	0		222	1	32	1.0	1
0	_h6_72	37011.0	15572.33	0		223	1	294	1.0	1
0	_h5_4769	32300.6	11775.72	0		224	1	306	1.0	1
0	_h5_4458	26299.45	27358.66	0		225	1	512	1.0	1
0	_h5_4544	17797.08	24787.73	0		226	1	414	1.0	1
0	_h5_4545	22969.12	20558.22	1	_h5_4524,	227	2	66	0.95	2
0	_h5_4524	22955.29	20524.64	1	_h5_4545,	227	2	66	1.0	2
0	_h5_4429	14419.92	25564.04	0		228	1	28	1.0	1
0	_h5_4428	35335.44	26704.51	1	_h5_4406,	229	2	80	1.0	2
0	_h5_4406	35289.05	26705.89	1	_h5_4428,	229	2	80	0.95	2
0	_h5_4540	10956.13	10930.44	0		230	1	179	1.0	1
0	_h5_4541	38724.16	29170.85	3	_h5_4564,_h5_4583,_h5_4677,	231	4	190	0.95	3
0	_h5_4564	38675.72	29146.47	3	_h5_4541,_h5_4583,_h5_4677,	231	4	190	0.95	3
0	_h5_4583	38762.39	29189.03	2	_h5_4541,_h5_4564,	231	4	190	1.0	3
0	_h5_4677	38658.46	29133.42	2	_h5_4541,_h5_4564,	231	4	393	1.0	1
0	_h5_4542	8364.62	13251.75	0		232	1	214	1.0	1
0	_h5_4543	28485.37	26433.27	1	_h5_4511,	233	3	52	1.0	1
0	_h5_4511	28566.77	26433.88	2	_h5_4543,_h5_4454,	233	3	90	0.95	2
0	_h5_4423	18045.98	24534.46	0		234	1	45	1.0	1
